"game_block_id","Game","Duration","player_id","player_name","role","Champion","Result","KDA","CSM","DPM","KP%"
"16","NS vs OK BRION","41:08","738","Lehends","SUPPORT","Elise","Victory","=""6/8/7""","1.6","393","48.1%"
"16","NS vs OK BRION","41:08","2545","Morgan","TOP","Ambessa","Defeat","=""5/7/6""","6.4","414","64.7%"
"16","NS vs OK BRION","41:08","4865","Pollu","SUPPORT","Renata Glasc","Defeat","=""0/7/13""","0.8","245","76.5%"
"16","NS vs OK BRION","41:08","1229","kingen","TOP","Rumble","Victory","=""7/2/12""","7.2","1024","70.4%"
"17","DRX vs T1","28:17","4938","Andil","SUPPORT","Leona","Defeat","=""0/6/4""","0.9","135","66.7%"
"17","DRX vs T1","28:17","1242","Doran","TOP","Rumble","Victory","=""1/2/3""","8.1","404","25%"
"17","DRX vs T1","28:17","48","Faker","MID","Aurora","Victory","=""3/1/4""","8.6","552","43.8%"
"17","DRX vs T1","28:17","3247","Gumayusi","ADC","Caitlyn","Victory","=""3/1/8""","11.0","473","68.8%"
"17","DRX vs T1","28:17","1258","Keria","SUPPORT","Elise","Victory","=""4/1/7""","0.8","458","68.8%"
"17","DRX vs T1","28:17","5919","LazyFeel","ADC","Corki","Defeat","=""1/3/0""","9.2","250","16.7%"
"17","DRX vs T1","28:17","3741","Oner","JUNGLE","Lee Sin","Victory","=""5/1/6""","7.4","406","68.8%"
"17","DRX vs T1","28:17","1613","Rich","TOP","Ornn","Defeat","=""0/5/1""","6.5","234","16.7%"
"17","DRX vs T1","28:17","4753","Sponge","JUNGLE","Wukong","Defeat","=""1/1/3""","5.9","253","66.7%"
"17","DRX vs T1","28:17","1504","Ucal","MID","Viktor","Defeat","=""4/1/0""","9.0","805","66.7%"
"18","DRX vs T1","34:06","4938","Andil","SUPPORT","Poppy","Defeat","=""1/6/6""","1.3","296","38.9%"
"18","DRX vs T1","34:06","1242","Doran","TOP","Jayce","Victory","=""4/7/9""","7.2","858","52%"
"18","DRX vs T1","34:06","48","Faker","MID","Galio","Victory","=""5/2/14""","8.0","888","76%"
"18","DRX vs T1","34:06","3247","Gumayusi","ADC","Xayah","Victory","=""7/3/6""","9.9","779","52%"
"18","DRX vs T1","34:06","1258","Keria","SUPPORT","Rakan","Victory","=""1/4/17""","0.7","102","72%"
"18","DRX vs T1","34:06","5919","LazyFeel","ADC","Ezreal","Defeat","=""6/5/8""","7.2","1026","77.8%"
"18","DRX vs T1","34:06","3741","Oner","JUNGLE","Xin Zhao","Victory","=""8/3/8""","6.7","815","64%"
"18","DRX vs T1","34:06","1613","Rich","TOP","Ambessa","Defeat","=""4/6/3""","5.8","978","38.9%"
"18","DRX vs T1","34:06","4753","Sponge","JUNGLE","Vi","Defeat","=""4/6/8""","5.4","475","66.7%"
"18","DRX vs T1","34:06","1504","Ucal","MID","Taliyah","Defeat","=""3/2/12""","8.2","1263","83.3%"
"19","Dplus KIA vs DN Freecs","28:25","1328","Aiming","ADC","Varus","Victory","=""7/0/9""","8.7","1048","69.6%"
"19","Dplus KIA vs DN Freecs","28:25","3322","Berserker","ADC","Miss Fortune","Defeat","=""2/2/1""","9.6","655","42.9%"
"19","Dplus KIA vs DN Freecs","28:25","2184","BeryL","SUPPORT","Poppy","Victory","=""1/2/9""","1.2","121","43.5%"
"19","Dplus KIA vs DN Freecs","28:25","3974","Bulldog","MID","Corki","Defeat","=""1/6/3""","8.2","1024","57.1%"
"19","Dplus KIA vs DN Freecs","28:25","3082","DuDu","TOP","Ambessa","Defeat","=""0/5/2""","6.3","492","28.6%"
"19","Dplus KIA vs DN Freecs","28:25","1906","Life","SUPPORT","Leona","Defeat","=""2/5/3""","0.8","214","71.4%"
"19","Dplus KIA vs DN Freecs","28:25","3895","Lucid","JUNGLE","Lillia","Victory","=""8/2/12""","7.7","750","87%"
"19","Dplus KIA vs DN Freecs","28:25","2664","Pyosik","JUNGLE","Sejuani","Defeat","=""2/5/3""","4.8","376","71.4%"
"19","Dplus KIA vs DN Freecs","28:25","1250","ShowMaker","MID","Sett","Victory","=""4/1/12""","7.3","437","69.6%"
"19","Dplus KIA vs DN Freecs","28:25","5392","Siwoo","TOP","Jayce","Victory","=""3/2/14""","7.2","594","73.9%"
"20","Dplus KIA vs DN Freecs","34:07","1328","Aiming","ADC","Ezreal","Victory","=""8/0/7""","9.4","1044","71.4%"
"20","Dplus KIA vs DN Freecs","34:07","3322","Berserker","ADC","Ashe","Defeat","=""4/2/7""","9.4","735","73.3%"
"20","Dplus KIA vs DN Freecs","34:07","2184","BeryL","SUPPORT","Elise","Victory","=""3/9/8""","1.1","325","52.4%"
"20","Dplus KIA vs DN Freecs","34:07","3974","Bulldog","MID","Taliyah","Defeat","=""3/4/5""","7.2","837","53.3%"
"20","Dplus KIA vs DN Freecs","34:07","3082","DuDu","TOP","Gnar","Defeat","=""4/6/6""","6.5","665","66.7%"
"20","Dplus KIA vs DN Freecs","34:07","1906","Life","SUPPORT","Nautilus","Defeat","=""0/6/8""","1.3","208","53.3%"
"20","Dplus KIA vs DN Freecs","34:07","3895","Lucid","JUNGLE","Pantheon","Victory","=""4/1/12""","5.6","660","76.2%"
"20","Dplus KIA vs DN Freecs","34:07","2664","Pyosik","JUNGLE","Vi","Defeat","=""4/3/4""","6.4","477","53.3%"
"20","Dplus KIA vs DN Freecs","34:07","1250","ShowMaker","MID","Zilean","Victory","=""1/1/14""","6.6","369","71.4%"
"20","Dplus KIA vs DN Freecs","34:07","5392","Siwoo","TOP","Rumble","Victory","=""5/4/8""","6.9","909","61.9%"
"21","BNK FearX vs GEN","29:11","1909","Canyon","JUNGLE","Xin Zhao","Victory","=""4/2/10""","6.7","590","63.6%"
